getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:52.466 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=307.9776269197464 prev=298.032985329628 kbH=335.0 frameY=566.0223730802536 anim=set from=0.0 to=335.0 inc=true fin=false last=307.42943398363275
2026-09-08 16:27:52.466 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=314.95686678469406 progress=0.9401697515961016
2026-09-08 16:27:52.483 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=558.6373525261879 windowH=874.0 -> position=315.3626474738121 presentation=set
2026-09-08 16:27:52.483 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=315.3626474738121 prev=307.9776269197464 kbH=335.0 frameY=558.6373525261879 anim=set from=0.0 to=335.0 inc=true fin=false last=314.95686678469406
2026-09-08 16:27:52.483 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=320.5026672080787 progress=0.9567243797256081
2026-09-08 16:27:52.500 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=553.1923397779465 windowH=874.0 -> position=320.8076602220535 presentation=set
2026-09-08 16:27:52.500 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=320.8076602220535 prev=315.3626474738121 kbH=335.0 frameY=553.1923397779465 anim=set from=0.0 to=335.0 inc=true fin=false last=320.5026672080787
2026-09-08 16:27:52.500 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=324.56643159930684 progress=0.9688550196994234
2026-09-08 16:27:52.516 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=549.2163401246071 windowH=874.0 -> position=324.7836598753929 presentation=set
2026-09-08 16:27:52.516 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=324.7836598753929 prev=320.8076602220535 kbH=335.0 frameY=549.2163401246071 anim=set from=0.0 to=335.0 inc=true fin=false last=324.56643159930684
2026-09-08 16:27:52.516 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=327.5156549226005 progress=0.9776586714107478
2026-09-08 16:27:52.533 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=546.3319268226624 windowH=874.0 -> position=327.66807317733765 presentation=set
2026-09-08 16:27:52.533 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=327.66807317733765 prev=324.7836598753929 kbH=335.0 frameY=546.3319268226624 anim=set from=0.0 to=335.0 inc=true fin=false last=327.5156549226005
2026-09-08 16:27:52.533 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=329.6463329302612 progress=0.9840189042694365
2026-09-08 16:27:52.550 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=544.235912501812 windowH=874.0 -> position=329.764087498188 presentation=set
